Job Title,Company Name,Location,Experience Level,Industry,No of Applications,Domain,AI_Impact_Category
Software Engineer (AI/ML),Neilsoft Inc.,"Pune, Maharashtra, India",Entry level,Design Services,68,AI/ML Engineer,AI Adoption Affected
Software Engineer - Applied AI Engineer,Postman Corp,"Bengaluru, Karnataka, India",Entry level,Staffing and Recruiting,168,AI/ML Engineer,AI Adoption Affected
ML Inference Platform Intern (6 months),aion,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,49,AI/ML Engineer,AI Adoption Affected
AI ML Engineer,Gsource Technologies LLC,"Pune, Maharashtra, India",Entry level,Design Services,200,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer | Remote,Sofueled,"Panaji, Goa, India",Entry level,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,Centre for Computational Technologies (CCTech),"Pune, Maharashtra, India",Entry level,Software Development,156,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,SentientGeeks,Greater Kolkata Area,Entry level,Software Development,200,AI/ML Engineer,AI Adoption Affected
AI Software Engineer,NextDimension AI,"Gurgaon, Haryana, India",Entry level,"Technology, Information and Internet",200,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer - Computer Vision,Infiswift Technologies,"Pune, Maharashtra, India",Entry level,Software Development,200,AI/ML Engineer,Low AI Impact
AI/ML Engineer,XTEN-AV,"Noida, Uttar Pradesh, India",Entry level,Software Development,200,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer - R/Python,GEMINI Software Solutions P Limited,"Mumbai, Maharashtra, India",Entry level,"Desktop Computing Software Products, Technology, Information and Internet, and Software Development",159,AI/ML Engineer,AI Adoption Affected
Jr/Mid AI/ML Engineer,Armakuni,"Ahmedabad, Gujarat, India",Entry level,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
Software Engineer Intern (AI/ML) - Global AI Powered Tech Talent Startup,SkillsCapital,India,Entry level,"Technology, Information and Internet",200,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,LeadSquared,"Bengaluru, Karnataka, India",Entry level,Software Development,200,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,DraconX,India,Entry level,"Technology, Information and Internet",200,AI/ML Engineer,AI Adoption Affected
Software Development Trainee,NxtWave,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer (Computer Vision + Deep Learning | Azure | MLOps)- Chennai,VGreen Technology Solutions (VGreenTEK),"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,46,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,orangemantra,"Gurgaon, Haryana, India",Entry level,IT Services and IT Consulting,47,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer - Agentic AI,Assessli ™,"Bengaluru, Karnataka, India",Entry level,Software Development,200,AI/ML Engineer,AI Adoption Affected
AI ML Engineer,Giggso,"Chennai, Tamil Nadu, India",Entry level,"Technology, Information and Internet",200,AI/ML Engineer,AI Adoption Affected
AI Engineer,Litmus7,"Kochi, Kerala, India",Entry level,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
Sr Associate- AI/ML Engineer,Northern Trust,"Bengaluru, Karnataka, India",Entry level,Financial Services,46,AI/ML Engineer,AI Adoption Affected
Data Scientist,Avantor,"Pune, Maharashtra, India",Entry level,Biotechnology Research,200,AI/ML Engineer,AI Adoption Affected
Junior AI Engineer,Soothsayer Analytics,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
AI ML Engineer– Sartech Labs (Remote / Hybrid),SARTECH Labs,India,Entry level,Research Services,200,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Ahmedabad, Gujarat, India",Entry level,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,APR Hub Technologies,"Hyderabad, Telangana, India",Entry level,Software Development,200,AI/ML Engineer,Low AI Impact
Machine Learning Engineer,Wabtec Corporation,"Bengaluru, Karnataka, India",Entry level,Railroad Equipment Manufacturing,113,AI/ML Engineer,AI Adoption Affected
Data Scientist,Avantor,"Coimbatore, Tamil Nadu, India",Entry level,Biotechnology Research,200,AI/ML Engineer,AI Adoption Affected
AI Engineer,Meltwater,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
Machine Learning Engineer,Ensono,Greater Kolkata Area,Entry level,IT Services and IT Consulting,165,AI/ML Engineer,AI Adoption Affected
Machine Learning Engineer,Mirai Alpha,"Bengaluru, Karnataka, India",Entry level,Investment Management,200,AI/ML Engineer,AI Adoption Affected
Artificial intelligence engineer,SourcingXPress,"Bengaluru, Karnataka, India",Entry level,"Technology, Information and Internet",200,AI/ML Engineer,AI Adoption Affected
BayRockLabs - AI/ML Engineer - ETL/Python,BayRock Labs,Greater Kolkata Area,Entry level,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development",121,AI/ML Engineer,AI Adoption Affected
AI Engineer Intern - AI/ML/GenAI Design & Development,Product Manager Accelerator,India,Entry level,E-Learning Providers,200,AI/ML Engineer,AI Adoption Affected
Artificial Intelligence/Machine Learning Engineer - RAG/LLM,Big AIR Lab,"Bengaluru, Karnataka, India",Entry level,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development",200,AI/ML Engineer,AI Adoption Affected
AI ML Data Engineer,KLA,"Chennai, Tamil Nadu, India",Entry level,Semiconductor Manufacturing,200,AI/ML Engineer,AI Adoption Affected
AI / ML Engineer,Accenture in India,"Jaipur, Rajasthan, India",Entry level,IT Services and IT Consulting,188,AI/ML Engineer,AI Adoption Affected
"Build Real Products, Not Just Models &ndash; AI/ML & Full Stack Roles (Interns & 1&ndash;3 YOE)",AccioJob,"Mumbai, Maharashtra, India",Entry level,Education Administration Programs,97,AI/ML Engineer,AI Adoption Affected
Data Scientist + Subject Matter Expert - AI/ML,Newton School,"Sonipat, Haryana, India",Entry level,Pharmaceutical Manufacturing,52,AI/ML Engineer,AI Adoption Affected
Software Engineer-AI,BSI Financial Services (India),"Gurgaon, Haryana, India",Entry level,Financial Services,200,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer in Surat,Arham Web Works,"Surat, Gujarat, India",Entry level,Software Development,46,AI/ML Engineer,AI Adoption Affected
Bluebash - Artificial Intelligence/Machine Learning Engineer - Python,Bluebash,"Sahibzada Ajit Singh Nagar, Punjab, India",Entry level,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development",85,AI/ML Engineer,AI Adoption Affected
PRESCIENCE - AI/ML Engineer - NLP/Computer Vision,Prescience Decision Solutions (A Movate Company),"Bengaluru, Karnataka, India",Entry level,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development",72,AI/ML Engineer,AI Adoption Affected
"Software Engineer, PhD, Early Career, Campus, 2025 Start",Google,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
Software Development Faculty Trainee,NxtWave,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,200,AI/ML Engineer,AI Adoption Affected
Software Engineer II,Walmart Global Tech India,"Bengaluru, Karnataka, India",Entry level,Software Development,200,AI/ML Engineer,AI Adoption Affected
AI Engineer,ESN Technologies (India) Pvt Ltd.,"Hyderabad, Telangana, India",Entry level,Staffing and Recruiting,80,AI/ML Engineer,AI Adoption Affected
AI Engineer – Chatbot/Helpbot,Tata Cummins,"Noida, Uttar Pradesh, India",Entry level,"Appliances, Electrical, and Electronics Manufacturing",200,AI/ML Engineer,AI Adoption Affected
Data Science,CGI,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,99,AI/ML Engineer,AI Adoption Affected
Genzeon - Artificial Intelligence/Machine Learning Trainee,Genzeon Technology Solutions,"Pune, Maharashtra, India",Entry level,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development",200,AI/ML Engineer,AI Adoption Affected
Associate Software Engineer (IITs/NITs only),Fission Labs,"Hyderabad, Telangana, India",Entry level,Software Development,200,AI/ML Engineer,Low AI Impact
"Python and Kubernetes Software Engineer - Data, AI/ML & Analytics",Canonical,"Pune, Maharashtra, India",Entry level,Software Development,126,AI/ML Engineer,AI Adoption Affected
"Python and Kubernetes Software Engineer - Data, AI/ML & Analytics",Canonical,"Mumbai, Maharashtra, India",Entry level,Software Development,105,AI/ML Engineer,AI Adoption Affected
QA Engineer AI/ML,Warner Bros. Discovery,"Hyderabad, Telangana, India",Entry level,Entertainment Providers,200,AI/ML Engineer,AI Adoption Affected
"Python and Kubernetes Software Engineer - Data, AI/ML & Analytics",Canonical,"Bengaluru, Karnataka, India",Entry level,Software Development,97,AI/ML Engineer,AI Adoption Affected
"Python and Kubernetes Software Engineer - Data, AI/ML & Analytics",Canonical,"Hyderabad, Telangana, India",Entry level,Software Development,92,AI/ML Engineer,AI Adoption Affected
Navtech - AI/ML Engineer - Pandas/Numpy,Navtech,"Hyderabad, Telangana, India",Entry level,"Data Infrastructure and Analytics, Technology, Information and Internet, and Software Development",98,AI/ML Engineer,AI Adoption Affected
AI ML Developer,Siemens Energy,"Pune, Maharashtra, India",Associate,"Appliances, Electrical, and Electronics Manufacturing",200,AI/ML Engineer,AI Adoption Affected
Software Engineer - AI/ML,Mindfire Solutions,India,Associate,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
Data Scientist,Talentgigs,"Bengaluru, Karnataka, India",Associate,IT Services and IT Consulting,85,AI/ML Engineer,AI Adoption Affected
Machine Learning,App Innovation Technologies,"Tiruchirappalli, Tamil Nadu, India",Associate,IT Services and IT Consulting,148,AI/ML Engineer,AI Adoption Affected
AI ML Developer - MLOps Engineer,Siemens Energy,"Pune, Maharashtra, India",Associate,"Appliances, Electrical, and Electronics Manufacturing",200,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer – Agentic AI & LLM Applications,Papigen,India,Associate,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
AI/ ML engineer,Tata Consultancy Services,"Chennai, Tamil Nadu, India",Associate,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
Associate – AI/ML,DRC Systems,"Gandhinagar, Gujarat, India",Associate,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
AI-ML Data Engineer,CoreFlex Solutions Inc.,"Bengaluru, Karnataka, India",Associate,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
AI/ML Engineer,Tata Consultancy Services,"Hyderabad, Telangana, India",Associate,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
AI-ML Data Engineer,CoreFlex Solutions Inc.,"Pune, Maharashtra, India",Associate,IT Services and IT Consulting,25,AI/ML Engineer,AI Adoption Affected
AI/ML Developer,Siemens Energy,"Pune, Maharashtra, India",Associate,"Appliances, Electrical, and Electronics Manufacturing",76,AI/ML Engineer,AI Adoption Affected
AI-ML Engineer,Merck Group,"Bengaluru, Karnataka, India",Associate,Pharmaceutical Manufacturing,200,AI/ML Engineer,AI Adoption Affected
IN-Associate_AI/ML Engineer_D&A_Advisory_PAN India,PwC India,Greater Kolkata Area,Associate,Business Consulting and Services,86,AI/ML Engineer,AI Adoption Affected
IN_Associate_AI/ML Engineer_Data & Analytics_Advisory_PAN India,PwC India,"Chennai, Tamil Nadu, India",Associate,Business Consulting and Services,55,AI/ML Engineer,AI Adoption Affected
MLOps Engineer,C5i,"Bengaluru, Karnataka, India",Associate,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
GenAI/AI Engineer - Immediate - 15 days Joiners ,ValueMomentum,"Hyderabad, Telangana, India",Associate,IT Services and IT Consulting,200,AI/ML Engineer,AI Adoption Affected
Machine Learning Engineer (S360),Paxcom India (P) Ltd - A Paymentus Company,"Sahibzada Ajit Singh Nagar, Punjab, India",Associate,Software Development,32,AI/ML Engineer,AI Adoption Affected
Associate Lead Engineer - Machine Learning Engineer,Thomson Reuters,"Bengaluru, Karnataka, India",Associate,Financial Services,36,AI/ML Engineer,AI Adoption Affected
AI Associate,Huron,"Bengaluru, Karnataka, India",Associate,Business Consulting and Services,93,AI/ML Engineer,AI Adoption Affected
Senior MLOps & AI Developer,Giesecke+Devrient,"Gurgaon, Haryana, India",Associate,IT Services and IT Consulting,95,AI/ML Engineer,AI Adoption Affected
Data Scientist,Uplers,"Pune, Maharashtra, India",Associate,Education Administration Programs,59,AI/ML Engineer,AI Adoption Affected
Data Scientist,Uplers,"Sonipat, Haryana, India",Associate,Education Administration Programs,25,AI/ML Engineer,AI Adoption Affected
Cloud Engineer,Binary Semantics Ltd.,"Gurgaon, Haryana, India",Associate,IT Services and IT Consulting,200,AI/ML Engineer,Automation Affected
AI Platform Administrator,Arm,"Bengaluru, Karnataka, India",Associate,Semiconductor Manufacturing,38,AI/ML Engineer,Low AI Impact
AI Platform Administrator,Arm,"Bengaluru, Karnataka, India",Associate,Semiconductor Manufacturing,39,AI/ML Engineer,Low AI Impact
Data Scientist,Uplers,"Pune, Maharashtra, India",Associate,Software Development,46,AI/ML Engineer,AI Adoption Affected
Senior MLOps Engineer,Versatile People,Greater Kolkata Area,Associate,Outsourcing and Offshoring Consulting,25,AI/ML Engineer,AI Adoption Affected
Data Scientist,Uplers,"Sonipat, Haryana, India",Associate,Education Administration Programs,67,AI/ML Engineer,AI Adoption Affected
DevOps Engineer,EdgeVantage,"Mumbai, Maharashtra, India",Associate,Business Consulting and Services,25,AI/ML Engineer,Automation Affected
IN_Associate_Agentic AI_Advisory Corporate_Advisory_Bangalore,PwC India,"Bengaluru, Karnataka, India",Associate,Business Consulting and Services,25,AI/ML Engineer,Automation Affected
Senior MLOps Engineer,AGCO Corporation,"Bengaluru, Karnataka, India",Associate,Machinery Manufacturing and Farming,55,AI/ML Engineer,AI Adoption Affected
Principal Machine Learning Architect,Ema,"Bengaluru, Karnataka, India",Associate,Software Development,33,AI/ML Engineer,AI Adoption Affected
