,Location,Experience Level,Industry,Domain,AI_Impact_Category
1,"Bengaluru, Karnataka, India",Entry level,Staffing and Recruiting,AI/ML Engineer,AI Adoption Affected
2,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,AI/ML Engineer,AI Adoption Affected
5,"Pune, Maharashtra, India",Entry level,Software Development,AI/ML Engineer,AI Adoption Affected
7,"Gurgaon, Haryana, India",Entry level,"Technology, Information and Internet",AI/ML Engineer,AI Adoption Affected
8,"Pune, Maharashtra, India",Entry level,Software Development,AI/ML Engineer,Low AI Impact
9,"Noida, Uttar Pradesh, India",Entry level,Software Development,AI/ML Engineer,AI Adoption Affected
11,"Ahmedabad, Gujarat, India",Entry level,IT Services and IT Consulting,AI/ML Engineer,AI Adoption Affected
13,"Bengaluru, Karnataka, India",Entry level,Software Development,AI/ML Engineer,AI Adoption Affected
15,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,AI/ML Engineer,AI Adoption Affected
16,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,AI/ML Engineer,AI Adoption Affected
17,"Gurgaon, Haryana, India",Entry level,IT Services and IT Consulting,AI/ML Engineer,AI Adoption Affected
18,"Bengaluru, Karnataka, India",Entry level,Software Development,AI/ML Engineer,AI Adoption Affected
19,"Chennai, Tamil Nadu, India",Entry level,"Technology, Information and Internet",AI/ML Engineer,AI Adoption Affected
21,"Bengaluru, Karnataka, India",Entry level,Financial Services,AI/ML Engineer,AI Adoption Affected
23,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,AI/ML Engineer,AI Adoption Affected
25,"Ahmedabad, Gujarat, India",Entry level,IT Services and IT Consulting,AI/ML Engineer,AI Adoption Affected
26,"Hyderabad, Telangana, India",Entry level,Software Development,AI/ML Engineer,Low AI Impact
29,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,AI/ML Engineer,AI Adoption Affected
32,"Bengaluru, Karnataka, India",Entry level,"Technology, Information and Internet",AI/ML Engineer,AI Adoption Affected
38,"Mumbai, Maharashtra, India",Entry level,Education Administration Programs,AI/ML Engineer,AI Adoption Affected
40,"Gurgaon, Haryana, India",Entry level,Financial Services,AI/ML Engineer,AI Adoption Affected
44,"Bengaluru, Karnataka, India",Entry level,IT Services and IT Consulting,AI/ML Engineer,AI Adoption Affected
45,"Hyderabad, Telangana, India",Entry level,Education Administration Programs,AI/ML Engineer,AI Adoption Affected
46,"Bengaluru, Karnataka, India",Entry level,Software Development,AI/ML Engineer,AI Adoption Affected
47,"Hyderabad, Telangana, India",Entry level,Staffing and Recruiting,AI/ML Engineer,AI Adoption Affected
49,"Hyderabad, Telangana, India",Entry level,IT Services and IT Consulting,AI/ML Engineer,AI Adoption Affected
51,"Hyderabad, Telangana, India",Entry level,Software Development,AI/ML Engineer,Low AI Impact
52,"Pune, Maharashtra, India",Entry level,Software Development,AI/ML Engineer,AI Adoption Affected
53,"Mumbai, Maharashtra, India",Entry level,Software Development,AI/ML Engineer,AI Adoption Affected
55,"Bengaluru, Karnataka, India",Entry level,Software Development,AI/ML Engineer,AI Adoption Affected
56,"Hyderabad, Telangana, India",Entry level,Software Development,AI/ML Engineer,AI Adoption Affected
60,"Bengaluru, Karnataka, India",Associate,IT Services and IT Consulting,AI/ML Engineer,AI Adoption Affected
64,"Chennai, Tamil Nadu, India",Associate,IT Services and IT Consulting,AI/ML Engineer,AI Adoption Affected
66,"Bengaluru, Karnataka, India",Associate,IT Services and IT Consulting,AI/ML Engineer,AI Adoption Affected
67,"Hyderabad, Telangana, India",Associate,IT Services and IT Consulting,AI/ML Engineer,AI Adoption Affected
68,"Pune, Maharashtra, India",Associate,IT Services and IT Consulting,AI/ML Engineer,AI Adoption Affected
70,"Bengaluru, Karnataka, India",Associate,Pharmaceutical Manufacturing,AI/ML Engineer,AI Adoption Affected
72,"Chennai, Tamil Nadu, India",Associate,Business Consulting and Services,AI/ML Engineer,AI Adoption Affected
73,"Bengaluru, Karnataka, India",Associate,IT Services and IT Consulting,AI/ML Engineer,AI Adoption Affected
74,"Hyderabad, Telangana, India",Associate,IT Services and IT Consulting,AI/ML Engineer,AI Adoption Affected
76,"Bengaluru, Karnataka, India",Associate,Financial Services,AI/ML Engineer,AI Adoption Affected
77,"Bengaluru, Karnataka, India",Associate,Business Consulting and Services,AI/ML Engineer,AI Adoption Affected
78,"Gurgaon, Haryana, India",Associate,IT Services and IT Consulting,AI/ML Engineer,AI Adoption Affected
79,"Pune, Maharashtra, India",Associate,Education Administration Programs,AI/ML Engineer,AI Adoption Affected
81,"Gurgaon, Haryana, India",Associate,IT Services and IT Consulting,AI/ML Engineer,Automation Affected
84,"Pune, Maharashtra, India",Associate,Software Development,AI/ML Engineer,AI Adoption Affected
87,"Mumbai, Maharashtra, India",Associate,Business Consulting and Services,AI/ML Engineer,Automation Affected
88,"Bengaluru, Karnataka, India",Associate,Business Consulting and Services,AI/ML Engineer,Automation Affected
90,"Bengaluru, Karnataka, India",Associate,Software Development,AI/ML Engineer,AI Adoption Affected
91,"Bengaluru, Karnataka, India",Associate,Financial Services,AI/ML Engineer,AI Adoption Affected
94,"Bengaluru, Karnataka, India",Associate,Pharmaceutical Manufacturing,AI/ML Engineer,Low AI Impact
95,"Bengaluru, Karnataka, India",Associate,Retail ,AI/ML Engineer,AI Adoption Affected
96,"Bengaluru, Karnataka, India",Mid-Senior level,"Technology, Information and Internet",AI/ML Engineer,AI Adoption Affected
